Latitude,Longitude,Region,Year,Season,Soil_Type,Rainfall_mm,Temperature_C,Humidity_%,Area_acres,Seed_Type,Seed_Cost (LKR),Fertilizer_Cost (LKR),Pesticide_Cost (LKR),Labor_Cost (LKR),Water_Cost (LKR),Machinery_Cost (LKR),Other_Costs (LKR),Total_Cost (LKR),Yield_kg,Cost_per_kg (LKR)
7.6278,81.7983,Batticaloa,2020,Maha,Sandy Loam,1561.81,32.66,84.64,3.19,BG300,4092.13,9871.93,2232.33,32323.52,6005.58,16204.94,1082.34,72752.59,11584.08,6.28
7.7852,81.7591,Batticaloa,2023,Maha,Clay,1318.51,27.27,73.67,1.87,BG300,6673.3,13183.34,3164.92,27237.06,3697.47,10797.88,2465.45,67131.56,6596.21,10.18
8.2965,80.4704,Anuradhapura,2025,Maha,Silt,1299.51,29.6,81.85,0.71,BG352,7252.81,10046.29,2260.21,33977.71,7828.16,17509.17,2218.46,80288.15,2346.77,34.21
7.4679,80.4119,Kurunegala,2017,Maha,Silt,1660.23,26.85,79.9,0.65,BG358,9365.24,11105.36,4650.09,21234.22,5600.34,14107.23,1739.42,68741.07,2278.44,30.17
7.9311,81.0914,Polonnaruwa,2022,Maha,Clay,2409.25,32.26,81.96,4.65,At306,3619.45,10351.79,2180.91,21506.61,4943.39,10527.54,4314.95,57158.15,11243.96,5.08
7.3218,81.6688,Ampara,2021,Maha,Silt,1814.04,26.99,86.04,0.84,At402,9908.21,17266.94,2794.86,15110.44,7077.31,16189.15,3916.03,72805.48,1648.83,44.16
7.4446,81.6757,Ampara,2025,Yala,Loam,1537.7,26.81,87.26,3.3,At402,5316.29,8762.7,3243.93,21503.67,6648.03,15288.25,4548.85,65256.15,6808.25,9.58
8.3909,80.3592,Anuradhapura,2020,Yala,Clay,2069.87,31.33,81.23,3.97,BG352,6456.57,14272.79,3710.16,15508.38,3539.46,7408.58,3545.64,54070.29,11587.86,4.67
7.326,81.6907,Ampara,2022,Maha,Loam,2361.35,27.75,78.21,3.9,BG358,4601.59,8923.76,3159.01,18224.43,7648.49,17505.56,3533.62,64339.38,13915.51,4.62
8.384,80.4904,Anuradhapura,2018,Maha,Sandy Loam,1279.86,32.25,80.79,4.13,BG352,9272.64,11816.04,2440.21,19558.7,5135.54,17634.19,4442.92,69314.14,12074.65,5.74
7.4259,80.4479,Kurunegala,2025,Maha,Loam,1626.12,27.55,72.4,2.02,BG300,9600.37,11878.44,4075.16,29060.38,4818.15,19633.17,4849.79,83419.02,5845.77,14.27
8.4144,80.511,Anuradhapura,2023,Yala,Clay,1451.32,27.99,70.74,3.24,BG352,6518.75,8617.75,3114.59,33165.32,4197.81,8883.63,2957.81,68426.96,7557.37,9.05
9.7753,80.0787,Jaffna,2024,Yala,Silt,2008.2,31.33,74.75,3.78,BG352,5574.48,15587.67,4534.12,25715.49,3451.45,17858.93,2283.12,74378.3,7143.09,10.41
7.9279,81.049,Polonnaruwa,2025,Yala,Silt,1886.34,30.74,70.33,2.8,At402,4585.47,15742.07,2697.47,28818.75,4933.68,19177.49,1550.08,77187.14,5739.0,13.45
